Functional Group,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11
phenol,7.24,6.931,6.838,5.35,0,0,0,0,0,0,0
phenol,7.117,6.75,6.65,6.64,5.06,2.297,0,0,0,0,0
phenol,7.11,7.07,6.82,6.74,4.79,2.236,0,0,0,0,0
phenol,7.002,6.721,5.2,2.254,0,0,0,0,0,0,0
phenol,8.83,6.78,6.018,6.01,5.942,4.85,0,0,0,0,0
phenol,8.9,6.649,6.587,6.543,6.4,4.4,0,0,0,0,0
phenol,8.36,6.485,6.426,4.36,0,0,0,0,0,0,0
phenol,8.24,6.815,6.676,0,0,0,0,0,0,0,0
phenol,7.02,7,6.97,6.81,5.88,0,0,0,0,0,0
phenol,10.66,7.654,6.932,0,0,0,0,0,0,0,0
phenol,7.5,7.45,7.1,7.06,6.95,0,0,0,0,0,0
phenol,7.349,7.235,7.178,7.151,6.85,0,0,0,0,0,0
phenol,6.959,6.756,6.624,4.76,2.269,2.159,0,0,0,0,0
phenol,8.29,6.444,6.415,6.357,4.14,1.985,0,0,0,0,0
phenol,7.064,6.758,4.85,2.575,1.199,0,0,0,0,0,0
phenol,7.146,6.779,6.683,6.652,5.07,2.595,1.211,0,0,0,0
phenol,6.978,6.64,6.575,4.7,2.205,2.176,0,0,0,0,0
phenol,7.142,7.081,6.887,6.757,4.8,2.639,1.237,0,0,0,0
phenol,6.93,6.744,4.66,2.198,0,0,0,0,0,0,0
phenol,9.25,7.107,6.711,4.97,4.364,0,0,0,0,0,0
phenol,7.162,6.692,5.1,3.4,0,0,0,0,0,0,0
phenol,10.19,7.393,7.075,6.853,6.806,3.38,0,0,0,0,0
phenol,7.088,6.83,6.761,6.615,5.016,3.43,0,0,0,0,0
phenol,8.55,6.63,6.352,6.213,4.66,0,0,0,0,0,0
phenol,8.88,6.552,6.358,6.117,4.77,0,0,0,0,0,0
phenol,7.172,6.755,5.23,0,0,0,0,0,0,0,0
phenol,7.287,7.159,7.01,6.853,5.61,0,0,0,0,0,0
phenol,7.109,6.907,6.839,6.704,6.27,0,0,0,0,0,0
phenol,6.42,6.38,5.29,0,0,0,0,0,0,0,0
phenol,6.888,6.793,5.66,0,0,0,0,0,0,0,0
phenol,7.008,6.744,6.554,5.5,0,0,0,0,0,0,0
phenol,6.929,6.779,6.712,5.81,0,0,0,0,0,0,0
phenol,6.937,6.826,6.743,5.8,0,0,0,0,0,0,0
phenol,7.1,6.89,6.78,5.971,5.4,5.11,3.38,0,0,0,0
phenol,8.5,7.915,6.974,2.593,0,0,0,0,0,0,0
phenol,7.56,7.5,7.44,7.32,7.14,2.594,0,0,0,0,0
phenol,6.77,4.42,2.19,0,0,0,0,0,0,0,0
phenol,7.19,7.04,6.92,6.71,4.7,3.2,1.249,0,0,0,0
phenol,7.034,6.747,4.92,2.507,1.589,0.918,0,0,0,0,0
phenol,7.09,7.07,6.82,6.73,4.85,2.57,1.63,0.96,0,0,0
phenol,7.095,6.766,4.8,2.847,1.215,0,0,0,0,0,0
phenol,6.57,6.42,4.74,2.21,2.1,0,0,0,0,0,0
phenol,6.84,6.66,4.59,2.225,2.193,2.142,0,0,0,0,0
phenol,11.18,7.683,6.81,6.79,0,0,0,0,0,0,0
phenol,7.05,6.35,6.32,6.2,6.18,2.814,0,0,0,0,0
phenol,6.972,6.682,4.14,2.703,2.53,0,0,0,0,0,0
